ID,2D-Dice,2D-Hausdorff,3D-Dice,3D-Hausdorff
BraTS20_Training_211,0.9499476826491045,1.4142135623730951,0.946287344870423,2.23606797749979
BraTS20_Training_212,0.984770858832577,1.0,0.9678386628851026,4.123105625617661
BraTS20_Training_213,0.9813183063097749,1.0,0.9656460765311045,18.05547008526779
BraTS20_Training_214,0.9628004317846364,1.4142135623730951,0.9678446044185964,1.0
BraTS20_Training_215,0.9290791610712302,2.23606797749979,0.9281839080459771,1.7320508075688772
BraTS20_Training_216,0.9692740023122558,1.4142135623730951,0.9628757620348959,5.477225575051661
BraTS20_Training_217,0.9486109241057403,2.0,0.9411082100377139,2.0
BraTS20_Training_218,0.9710053098924635,1.4142135623730951,0.9654327128037516,2.23606797749979
BraTS20_Training_219,0.9321387177850994,8.602325267042627,0.9293923599656925,6.0
BraTS20_Training_220,0.937775309703845,3.0,0.9338586686589341,3.0
BraTS20_Training_221,0.9762914144312593,1.0,0.9724247462129304,1.4142135623730951
BraTS20_Training_222,0.9184115304840199,13.19090595827292,0.9203343465045593,5.477225575051661
BraTS20_Training_223,0.964837361439215,1.4142135623730951,0.9686694572906575,1.4142135623730951
BraTS20_Training_224,0.95905486536679,1.7320508075688772,0.9628292939936776,2.0
BraTS20_Training_225,0.9699856754184412,1.4142135623730951,0.9678936285422056,1.4142135623730951
BraTS20_Training_226,0.9547692996446459,1.4142135623730951,0.9495747308489335,1.7320508075688772
BraTS20_Training_227,0.8969213936540759,2.8284271247461903,0.8799691552182471,4.123105625617661
BraTS20_Training_228,0.9281537824692124,13.601470508735444,0.9286251037330842,11.357816691600547
BraTS20_Training_229,0.9751679966400671,1.0,0.9718851770143923,1.0
BraTS20_Training_230,0.9546987214327551,2.23606797749979,0.9626340393359529,1.7320508075688772
BraTS20_Training_231,0.9752745421828602,1.0,0.9753758616591395,1.0
BraTS20_Training_232,0.9538490785471462,2.23606797749979,0.9467394303929354,3.605551275463989
BraTS20_Training_233,0.9585416230131409,1.0,0.9537534311970403,1.0
BraTS20_Training_234,0.9695747141205191,1.4142135623730951,0.964811433466333,2.0
BraTS20_Training_235,0.9724294259209331,1.7320508075688772,0.9686153508180679,3.0
BraTS20_Training_236,0.9441965334210155,4.0,0.9396645482924649,5.385164807134504
BraTS20_Training_237,0.9706281959437761,1.4142135623730951,0.9636462861785189,4.123105625617661
BraTS20_Training_238,0.9494472743680167,4.242640687119285,0.9493781094527363,7.280109889280518
BraTS20_Training_239,0.9567843437207401,5.0,0.9527505256943477,2.0
BraTS20_Training_240,0.9601500809259895,2.0,0.9468569430130389,2.23606797749979
BraTS20_Training_241,0.9709112410834705,1.4142135623730951,0.9668895348191704,2.0
BraTS20_Training_242,0.9728397746009313,2.23606797749979,0.9555270896855323,2.449489742783178
BraTS20_Training_243,0.9661253343523118,1.0,0.9567035222140179,2.0
BraTS20_Training_244,0.9855986622073578,1.0,0.9678013370518141,1.0
BraTS20_Training_245,0.9806864344432716,1.0,0.9656032241540945,2.0
BraTS20_Training_246,0.9645169421338806,1.4142135623730951,0.9509593642530483,2.23606797749979
BraTS20_Training_247,0.9502301430741673,2.0,0.9498941212819991,2.23606797749979
BraTS20_Training_248,0.9656092050404118,1.4142135623730951,0.9606328395547886,1.4142135623730951
BraTS20_Training_249,0.9365652746362378,4.58257569495584,0.9378778988187871,2.8284271247461903
BraTS20_Training_250,0.8850641737817416,20.493901531919196,0.8954157695518715,19.519221295943137
BraTS20_Training_251,0.9737270815437932,1.4142135623730951,0.9741973396014745,1.0
BraTS20_Training_252,0.9756006515542284,1.4142135623730951,0.9739525342130332,1.4142135623730951
BraTS20_Training_253,0.9569497323842631,1.4142135623730951,0.9561743287810709,1.7320508075688772
BraTS20_Training_254,0.9823590298899629,1.0,0.9776158051213196,1.0
BraTS20_Training_255,0.9733058191331826,1.0,0.9711413077690945,1.0
BraTS20_Training_256,0.9614135148245602,2.8284271247461903,0.9573503974814915,3.3166247903554
BraTS20_Training_257,0.9686629069316385,1.7320508075688772,0.9718481366721724,1.0
BraTS20_Training_258,0.9661861395842692,1.4142135623730951,0.9593402095612312,1.4142135623730951
BraTS20_Training_259,0.9740035381765932,1.4142135623730951,0.9731094810470439,1.7320508075688772
BraTS20_Training_260,0.9773219556916753,1.0,0.94265922060484,2.0
BraTS20_Training_261,0.984542532719414,1.0,0.9692699205824626,1.7320508075688772
BraTS20_Training_262,0.9791306514663054,1.0,0.949466605005526,1.7320508075688772
BraTS20_Training_263,0.9714969824193125,1.0,0.9387721466831479,1.4142135623730951
BraTS20_Training_264,0.983431027745213,1.0,0.9593307542760638,1.0
BraTS20_Training_265,0.9791981143498301,1.0,0.9660236826620021,1.0
BraTS20_Training_266,0.9772259065895301,1.0,0.962693529084724,1.0
BraTS20_Training_267,0.9815273185325145,1.0,0.9464599384888551,2.23606797749979
BraTS20_Training_268,0.9764050901378579,1.0,0.9409653498007547,1.4142135623730951
BraTS20_Training_269,0.9725595154247078,1.0,0.954181450990842,1.0
BraTS20_Training_270,0.9545340608249865,1.4142135623730951,0.9658654913818139,1.0
BraTS20_Training_271,0.8155573183336939,52.54521862167861,0.8274379360700957,53.0659966456864
BraTS20_Training_272,0.9538414133114216,3.0,0.9601639239290517,3.0
BraTS20_Training_273,0.9043609035405905,9.219544457292887,0.9130796751855046,9.433981132056603
BraTS20_Training_274,0.8887741801529535,11.445523142259598,0.886899669341226,11.357816691600547
BraTS20_Training_275,0.703324771891984,61.48983655857283,0.7114298070618434,61.84658438426491
BraTS20_Training_276,0.9141457252116908,12.083045973594572,0.9248299026784945,11.445523142259598
BraTS20_Training_277,0.6388919915112253,23.08679276123039,0.7523993870473425,18.841443681416774
BraTS20_Training_278,0.8520406676959827,6.557438524302,0.85855250264571,7.483314773547883
BraTS20_Training_279,0.9110162867966196,7.810249675906654,0.9080855238788089,8.831760866327848
BraTS20_Training_280,0.8631541568644858,81.40024569987489,0.8700050242840395,80.46738469715541
BraTS20_Training_281,0.89584559167994,4.0,0.8978223321028211,4.123105625617661
BraTS20_Training_282,0.9456211221711378,3.0,0.9481072502319136,3.1622776601683795
BraTS20_Training_283,0.938426994067238,3.1622776601683795,0.9437708553545151,1.7320508075688772
BraTS20_Training_284,0.9459650240161346,7.483314773547883,0.9494987032912777,7.483314773547883
BraTS20_Training_285,0.7128510007574478,10.04987562112089,0.7230402866381194,9.643650760992955
BraTS20_Training_286,0.901478383395585,8.602325267042627,0.9060456425997597,8.602325267042627
BraTS20_Training_287,0.919368617248476,41.08527716834828,0.9257251104216804,40.570925550201586
BraTS20_Training_288,0.9175533659586192,5.0,0.9216407392110973,5.0990195135927845
BraTS20_Training_289,0.9540182111648566,5.656854249492381,0.9574739962687521,5.385164807134504
BraTS20_Training_290,0.8976511620032281,6.4031242374328485,0.9090979229968027,6.4031242374328485
BraTS20_Training_291,0.9625945846338121,4.123105625617661,0.9693580988423146,4.0
BraTS20_Training_292,0.9547603058167166,2.0,0.9588670207226908,2.0
BraTS20_Training_293,0.8761288535500069,7.0,0.8828589230084557,6.48074069840786
BraTS20_Training_294,0.9417695692917215,4.0,0.9437168861301473,4.242640687119285
BraTS20_Training_295,0.8562026291375658,50.309044912421065,0.87519134242284,51.19570294468082
BraTS20_Training_296,0.9698252053256384,1.4142135623730951,0.9727299390135126,1.4142135623730951
BraTS20_Training_297,0.6608870405820699,44.51965857910413,0.6659106373327285,45.45327270945405
BraTS20_Training_298,0.8620133065627338,4.898979485566356,0.8685768317787387,4.47213595499958
BraTS20_Training_299,0.8556284704694599,12.529964086141668,0.8592301435334179,11.74734012447073
BraTS20_Training_300,0.880761260127555,10.954451150103322,0.8921807612975811,9.219544457292887
BraTS20_Training_301,0.8720856012162429,10.488088481701515,0.8742159013321325,13.19090595827292
BraTS20_Training_302,0.8190692070493577,8.06225774829855,0.8217551904216024,8.717797887081348
BraTS20_Training_303,0.815959617991182,10.0,0.8217938387156759,11.313708498984761
BraTS20_Training_304,0.9075036516186011,2.8284271247461903,0.9183249088233413,2.23606797749979
BraTS20_Training_305,0.887561745716893,8.602325267042627,0.9005060026640679,8.366600265340756
BraTS20_Training_306,0.9218859916349519,7.0710678118654755,0.9185606116602164,7.3484692283495345
BraTS20_Training_307,0.845022615627749,13.19090595827292,0.8449724536703096,13.638181696985855
BraTS20_Training_308,0.7788570445879514,13.601470508735444,0.780476215930486,13.490737563232042
BraTS20_Training_309,0.8688754648164242,7.3484692283495345,0.8807895456745439,6.557438524302
BraTS20_Training_310,0.9303215332366406,52.640288753007425,0.9438776853604519,3.3166247903554
BraTS20_Training_311,0.8090478094476495,5.830951894845301,0.8452354874041621,8.06225774829855
BraTS20_Training_312,0.9304571109283477,3.7416573867739413,0.9208278580814717,4.242640687119285
BraTS20_Training_313,0.9510127781618909,3.3166247903554,0.9488260828059457,3.4641016151377544
BraTS20_Training_314,0.8119714230546438,13.564659966250536,0.8506664505935259,7.211102550927978
BraTS20_Training_315,0.9783043146952684,1.0,0.9740526360810926,1.0
BraTS20_Training_316,0.8310744524169653,9.273618495495704,0.887157428689939,8.06225774829855
BraTS20_Training_317,0.8998636231527645,2.23606797749979,0.9061362976852162,2.449489742783178
BraTS20_Training_318,0.8703606485168672,12.884098726725126,0.8761453816575309,10.198039027185569
BraTS20_Training_319,0.951510313393248,4.358898943540674,0.951784000548396,5.0
BraTS20_Training_320,0.8601806000582581,14.071247279470288,0.8669401340087295,14.177446878757825
BraTS20_Training_321,0.9472976984734613,2.23606797749979,0.9522793252255787,2.0
BraTS20_Training_322,0.9151805729174908,5.830951894845301,0.9203366400610147,5.0990195135927845
BraTS20_Training_323,0.8840044233702969,6.48074069840786,0.9093830098864885,5.916079783099616
BraTS20_Training_324,0.8947326732673268,4.242640687119285,0.9409255891739514,2.23606797749979
BraTS20_Training_325,0.47819799290065296,41.31585652022719,0.7712963213599329,43.32435804486894
BraTS20_Training_326,0.9118308898738493,5.830951894845301,0.9104753353937531,6.164414002968976
BraTS20_Training_327,0.9373088038344963,15.84297951775486,0.9666805964115884,3.0
BraTS20_Training_328,0.9184493290394199,5.0990195135927845,0.9416294532102808,5.385164807134504
BraTS20_Training_329,0.8989996556329215,4.123105625617661,0.9094600617355276,3.7416573867739413
BraTS20_Training_330,0.9445233352711886,2.8284271247461903,0.9548821913847932,2.0
BraTS20_Training_331,0.8971007282102311,2.449489742783178,0.855674974440922,4.0
BraTS20_Training_332,0.9561744863799344,1.4142135623730951,0.9435133145992238,1.4142135623730951
BraTS20_Training_333,0.9553992466991952,3.4641016151377544,0.9612143738922523,3.0
BraTS20_Training_334,0.9690868685528542,2.0,0.9717862103487027,1.4142135623730951
BraTS20_Training_335,0.8987164147065722,5.830951894845301,0.9120441240052818,4.47213595499958
